table_name,ordinal_position,column_name,data_type,character_maximum_length,numeric_precision,numeric_scale,is_nullable,column_default
adm_emd,1,emd_cd,text,,,,YES,
adm_emd,2,name,text,,,,YES,
adm_emd,3,geom,USER-DEFINED,,,,YES,
adm_emd,4,rep_pt,USER-DEFINED,,,,YES,
adm_emd_raw,1,gid,integer,,32,0,NO,nextval('adm_emd_raw_gid_seq'::regclass)
adm_emd_raw,2,emd_cd,character varying,,,,YES,
adm_emd_raw,3,name,character varying,,,,YES,
adm_emd_raw,4,geom,USER-DEFINED,,,,YES,
adm_sgg,1,sig_cd,text,,,,YES,
adm_sgg,2,name,text,,,,YES,
adm_sgg,3,geom,USER-DEFINED,,,,YES,
adm_sgg,4,rep_pt,USER-DEFINED,,,,YES,
adm_sgg_raw,1,gid,integer,,32,0,NO,nextval('adm_sgg_raw_gid_seq'::regclass)
adm_sgg_raw,2,sig_cd,character varying,,,,YES,
adm_sgg_raw,3,name,character varying,,,,YES,
adm_sgg_raw,4,geom,USER-DEFINED,,,,YES,
adm_sido,1,gid,integer,,32,0,NO,nextval('adm_sido_gid_seq'::regclass)
adm_sido,2,sid_cd,text,,,,YES,
adm_sido,3,sid_nm,text,,,,YES,
adm_sido,4,geom,USER-DEFINED,,,,YES,
adm_sido,5,centroid,USER-DEFINED,,,,YES,
alembic_version,1,version_num,character varying,32,,,NO,
aptinfo,1,apt_cd,text,,,,NO,
aptinfo,2,sn,integer,,32,0,YES,
aptinfo,3,apt_nm,text,,,,YES,
aptinfo,4,cmpx_clsf,text,,,,YES,
aptinfo,5,apt_stdg_addr,text,,,,YES,
aptinfo,6,apt_rdn_addr,text,,,,YES,
aptinfo,7,ctpv_addr,text,,,,YES,
aptinfo,8,sgg_addr,text,,,,YES,
aptinfo,9,emd_addr,text,,,,YES,
aptinfo,10,daddr,text,,,,YES,
aptinfo,11,rdn_addr,text,,,,YES,
aptinfo,12,road_daddr,text,,,,YES,
aptinfo,13,telno,text,,,,YES,
aptinfo,14,fxno,text,,,,YES,
aptinfo,15,apt_cmpx,text,,,,YES,
aptinfo,16,apt_atch_file,text,,,,YES,
aptinfo,17,hh_type,text,,,,YES,
aptinfo,18,mng_mthd,text,,,,YES,
aptinfo,19,road_type,text,,,,YES,
aptinfo,20,mn_mthd,text,,,,YES,
aptinfo,21,whol_dong_cnt,integer,,32,0,YES,
aptinfo,22,tnohsh,integer,,32,0,YES,
aptinfo,23,bldr,text,,,,YES,
aptinfo,24,dvlr,text,,,,YES,
aptinfo,25,use_aprv_ymd,date,,,,YES,
aptinfo,26,gfa,numeric,,14,2,YES,
aptinfo,27,rsdt_xuar,numeric,,14,2,YES,
aptinfo,28,mnco_levy_area,numeric,,14,2,YES,
aptinfo,29,xuar_hh_stts60,numeric,,14,2,YES,
aptinfo,30,xuar_hh_stts85,numeric,,14,2,YES,
aptinfo,31,xuar_hh_stts135,numeric,,14,2,YES,
aptinfo,32,xuar_hh_stts136,numeric,,14,2,YES,
aptinfo,33,hmpg,text,,,,YES,
aptinfo,34,reg_ymd,date,,,,YES,
aptinfo,35,mdfcn_ymd,date,,,,YES,
aptinfo,36,epis_mng_no,text,,,,YES,
aptinfo,37,eps_mng_form,text,,,,YES,
aptinfo,38,hh_elct_ctrt_mthd,text,,,,YES,
aptinfo,39,clng_mng_form,text,,,,YES,
aptinfo,40,bdar,numeric,,14,2,YES,
aptinfo,41,prk_cntom,integer,,32,0,YES,
aptinfo,42,se_cd,text,,,,YES,
aptinfo,43,cmpx_aprv_day,date,,,,YES,
aptinfo,44,use_yn,text,,,,YES,
aptinfo,45,mnco_uld_yn,text,,,,YES,
aptinfo,46,lng,numeric,,10,7,YES,
aptinfo,47,lat,numeric,,10,7,YES,
aptinfo,48,cmpx_apld_day,date,,,,YES,
aptinfo,49,gu_key,text,,,,YES,
aptinfo,50,dong_key,text,,,,YES,
aptinfo,51,name_key,text,,,,YES,
aptinfo,52,lot_key,text,,,,YES,
aptinfo,53,raw,jsonb,,,,NO,
aptinfo,54,created_at,timestamp with time zone,,,,NO,now()
aptinfo,55,updated_at,timestamp with time zone,,,,NO,now()
aptinfo_ext_v,1,apt_cd,text,,,,YES,
aptinfo_ext_v,2,apt_nm,text,,,,YES,
aptinfo_ext_v,3,lot_addr_nospace,text,,,,YES,
aptinfo_summary,1,apt_cd,text,,,,NO,
aptinfo_summary,2,sn,integer,,32,0,YES,
aptinfo_summary,3,apt_nm,text,,,,YES,
aptinfo_summary,4,cmpx_clsf,text,,,,YES,
aptinfo_summary,5,apt_stdg_addr,text,,,,YES,
aptinfo_summary,6,apt_rdn_addr,text,,,,YES,
aptinfo_summary,7,ctpv_addr,text,,,,YES,
aptinfo_summary,8,sgg_addr,text,,,,YES,
aptinfo_summary,9,emd_addr,text,,,,YES,
aptinfo_summary,10,daddr,text,,,,YES,
aptinfo_summary,11,rdn_addr,text,,,,YES,
aptinfo_summary,12,road_daddr,text,,,,YES,
aptinfo_summary,13,telno,text,,,,YES,
aptinfo_summary,14,fxno,text,,,,YES,
aptinfo_summary,15,apt_cmpx,text,,,,YES,
aptinfo_summary,16,apt_atch_file,text,,,,YES,
aptinfo_summary,17,hh_type,text,,,,YES,
aptinfo_summary,18,mng_mthd,text,,,,YES,
aptinfo_summary,19,road_type,text,,,,YES,
aptinfo_summary,20,mn_mthd,text,,,,YES,
aptinfo_summary,21,whol_dong_cnt,integer,,32,0,YES,
aptinfo_summary,22,tnohsh,integer,,32,0,YES,
aptinfo_summary,23,bldr,text,,,,YES,
aptinfo_summary,24,dvlr,text,,,,YES,
aptinfo_summary,25,use_aprv_ymd,date,,,,YES,
aptinfo_summary,26,gfa,numeric,,14,2,YES,
aptinfo_summary,27,rsdt_xuar,numeric,,14,2,YES,
aptinfo_summary,28,mnco_levy_area,numeric,,14,2,YES,
aptinfo_summary,29,xuar_hh_stts60,numeric,,14,2,YES,
aptinfo_summary,30,xuar_hh_stts85,numeric,,14,2,YES,
aptinfo_summary,31,xuar_hh_stts135,numeric,,14,2,YES,
aptinfo_summary,32,xuar_hh_stts136,numeric,,14,2,YES,
aptinfo_summary,33,hmpg,text,,,,YES,
aptinfo_summary,34,reg_ymd,date,,,,YES,
aptinfo_summary,35,mdfcn_ymd,date,,,,YES,
aptinfo_summary,36,epis_mng_no,text,,,,YES,
aptinfo_summary,37,eps_mng_form,text,,,,YES,
aptinfo_summary,38,hh_elct_ctrt_mthd,text,,,,YES,
aptinfo_summary,39,clng_mng_form,text,,,,YES,
aptinfo_summary,40,bdar,numeric,,14,2,YES,
aptinfo_summary,41,prk_cntom,integer,,32,0,YES,
aptinfo_summary,42,se_cd,text,,,,YES,
aptinfo_summary,43,cmpx_aprv_day,date,,,,YES,
aptinfo_summary,44,use_yn,text,,,,YES,
aptinfo_summary,45,mnco_uld_yn,text,,,,YES,
aptinfo_summary,46,lng,numeric,,10,7,YES,
aptinfo_summary,47,lat,numeric,,10,7,YES,
aptinfo_summary,48,cmpx_apld_day,date,,,,YES,
aptinfo_summary,49,gu_key,text,,,,YES,
aptinfo_summary,50,dong_key,text,,,,YES,
aptinfo_summary,51,name_key,text,,,,YES,
aptinfo_summary,52,lot_key,text,,,,YES,
aptinfo_summary,53,raw,jsonb,,,,NO,
aptinfo_summary,54,created_at,timestamp with time zone,,,,NO,now()
aptinfo_summary,55,updated_at,timestamp with time zone,,,,NO,now()
aptinfo_summary,56,lot_addr,text,,,,YES,
aptinfo_summary,57,lot_main,integer,,32,0,YES,
aptinfo_summary,58,lot_sub,integer,,32,0,YES,
aptinfo_summary,59,lot_union,text,,,,YES,
aptinfo_summary,60,sale84_med_3m,numeric,,,,YES,
aptinfo_summary,61,sale84_med_6m,numeric,,,,YES,
aptinfo_summary,62,sale84_med_12m,numeric,,,,YES,
aptinfo_summary,63,rent84_med_3m,numeric,,,,YES,
aptinfo_summary,64,rent84_med_6m,numeric,,,,YES,
aptinfo_summary,65,rent84_med_12m,numeric,,,,YES,
aptinfo_summary,66,sale84_med_1w,numeric,,,,YES,
aptinfo_summary,67,sale84_med_1m,numeric,,,,YES,
aptinfo_summary,68,sale84_med_24m,numeric,,,,YES,
aptinfo_summary,69,sale84_med_36m,numeric,,,,YES,
aptinfo_summary,70,rent84_med_1w,numeric,,,,YES,
aptinfo_summary,71,rent84_med_1m,numeric,,,,YES,
aptinfo_summary,72,rent84_med_24m,numeric,,,,YES,
aptinfo_summary,73,rent84_med_36m,numeric,,,,YES,
aptinfo_summary,74,sale_tx_cnt_1w,integer,,32,0,YES,
aptinfo_summary,75,sale_tx_cnt_1m,integer,,32,0,YES,
aptinfo_summary,76,sale_tx_cnt_3m,integer,,32,0,YES,
aptinfo_summary,77,sale_tx_cnt_6m,integer,,32,0,YES,
aptinfo_summary,78,sale_tx_cnt_12m,integer,,32,0,YES,
aptinfo_summary,79,sale_tx_cnt_24m,integer,,32,0,YES,
aptinfo_summary,80,sale_tx_cnt_36m,integer,,32,0,YES,
aptinfo_summary,81,rent_tx_cnt_1w,integer,,32,0,YES,
aptinfo_summary,82,rent_tx_cnt_1m,integer,,32,0,YES,
aptinfo_summary,83,rent_tx_cnt_3m,integer,,32,0,YES,
aptinfo_summary,84,rent_tx_cnt_6m,integer,,32,0,YES,
aptinfo_summary,85,rent_tx_cnt_12m,integer,,32,0,YES,
aptinfo_summary,86,rent_tx_cnt_24m,integer,,32,0,YES,
aptinfo_summary,87,rent_tx_cnt_36m,integer,,32,0,YES,
geography_columns,1,f_table_catalog,name,,,,YES,
geography_columns,2,f_table_schema,name,,,,YES,
geography_columns,3,f_table_name,name,,,,YES,
geography_columns,4,f_geography_column,name,,,,YES,
geography_columns,5,coord_dimension,integer,,32,0,YES,
geography_columns,6,srid,integer,,32,0,YES,
geography_columns,7,type,text,,,,YES,
geometry_columns,1,f_table_catalog,character varying,256,,,YES,
geometry_columns,2,f_table_schema,name,,,,YES,
geometry_columns,3,f_table_name,name,,,,YES,
geometry_columns,4,f_geometry_column,name,,,,YES,
geometry_columns,5,coord_dimension,integer,,32,0,YES,
geometry_columns,6,srid,integer,,32,0,YES,
geometry_columns,7,type,character varying,30,,,YES,
rent,1,id,bigint,,64,0,NO,nextval('rent_id_seq'::regclass)
rent,2,rcpt_yr,integer,,32,0,YES,
rent,3,cgg_cd,text,,,,YES,
rent,4,cgg_nm,text,,,,YES,
rent,5,stdg_cd,text,,,,YES,
rent,6,stdg_nm,text,,,,YES,
rent,7,lotno_se,text,,,,YES,
rent,8,lotno_se_nm,text,,,,YES,
rent,9,mno,text,,,,YES,
rent,10,sno,text,,,,YES,
rent,11,flr,integer,,32,0,YES,
rent,12,ctrt_day,text,,,,YES,
rent,13,rent_se,text,,,,YES,
rent,14,rent_area,numeric,,10,2,YES,
rent,15,grfe_mwon,bigint,,64,0,YES,
rent,16,rtfe_mwon,bigint,,64,0,YES,
rent,17,bldg_nm,text,,,,YES,
rent,18,arch_yr,integer,,32,0,YES,
rent,19,bldg_usg,text,,,,YES,
rent,20,ctrt_prd,text,,,,YES,
rent,21,new_updt_yn,text,,,,YES,
rent,22,ctrt_updt_use_yn,text,,,,YES,
rent,23,bfr_grfe_mwon,bigint,,64,0,YES,
rent,24,bfr_rtfe_mwon,bigint,,64,0,YES,
rent,25,contract_date,date,,,,YES,
rent,26,area_m2,numeric,,10,2,YES,
rent,27,deposit_krw,bigint,,64,0,YES,
rent,28,rent_krw,bigint,,64,0,YES,
rent,29,lot_key,text,,,,YES,
rent,30,gu_key,text,,,,YES,
rent,31,dong_key,text,,,,YES,
rent,32,name_key,text,,,,YES,
rent,33,lat,numeric,,10,7,YES,
rent,34,lng,numeric,,10,7,YES,
rent,35,raw,jsonb,,,,NO,
rent,36,created_at,timestamp with time zone,,,,NO,now()
rent,37,updated_at,timestamp with time zone,,,,NO,now()
sale,1,id,bigint,,64,0,NO,nextval('sale_id_seq'::regclass)
sale,2,raw,jsonb,,,,NO,
sale,3,rcpt_yr,integer,,32,0,YES,
sale,4,cgg_cd,integer,,32,0,YES,
sale,5,cgg_nm,text,,,,YES,
sale,6,stdg_cd,integer,,32,0,YES,
sale,7,stdg_nm,text,,,,YES,
sale,8,lotno_se,integer,,32,0,YES,
sale,9,lotno_se_nm,text,,,,YES,
sale,10,mno,text,,,,YES,
sale,11,sno,text,,,,YES,
sale,12,bldg_nm,text,,,,YES,
sale,13,ctrt_day,date,,,,YES,
sale,14,thing_amt,bigint,,64,0,YES,
sale,15,arch_area,numeric,,14,3,YES,
sale,16,land_area,numeric,,14,3,YES,
sale,17,flr,text,,,,YES,
sale,18,rght_se,text,,,,YES,
sale,19,rtrcn_day,text,,,,YES,
sale,20,arch_yr,integer,,32,0,YES,
sale,21,bldg_usg,text,,,,YES,
sale,22,dclr_se,text,,,,YES,
sale,23,opbiz_restagnt_sgg_nm,text,,,,YES,
sale,24,lat,numeric,,10,7,YES,
sale,25,lng,numeric,,10,7,YES,
sale,26,created_at,timestamp with time zone,,,,NO,CURRENT_TIMESTAMP
sale,27,updated_at,timestamp with time zone,,,,NO,CURRENT_TIMESTAMP
sale,28,gu_key,text,,,,YES,
sale,29,dong_key,text,,,,YES,
sale,30,name_key,text,,,,YES,
sale,31,lot_key,text,,,,YES,
spatial_ref_sys,1,srid,integer,,32,0,NO,
spatial_ref_sys,2,auth_name,character varying,256,,,YES,
spatial_ref_sys,3,auth_srid,integer,,32,0,YES,
spatial_ref_sys,4,srtext,character varying,2048,,,YES,
spatial_ref_sys,5,proj4text,character varying,2048,,,YES,
v_apt_markers,1,id,text,,,,YES,
v_apt_markers,2,name,text,,,,YES,
v_apt_markers,3,lat,double precision,,53,,YES,
v_apt_markers,4,lng,double precision,,53,,YES,
v_apt_markers,5,gu,text,,,,YES,
v_apt_markers,6,dong,text,,,,YES,
v_apt_markers,7,addr_road,text,,,,YES,
v_apt_markers,8,addr_jibun,text,,,,YES,
